trip_id,stop_name,scheduled,actual,passengers_on,passengers_off
T0003,Sunset / Foothill,2025-10-01 08:14:00,2025-10-01 08:23:00,34,25
T0003,Sunset / Maple,2025-10-01 08:15:00,2025-10-01 08:24:00,43,12
T0003,Sunset / Hillcrest,2025-10-01 08:16:00,2025-10-01 08:25:00,0,42
T0004,Le Conte / Broxton,2025-10-01 09:00:00,2025-10-01 09:00:00,50,0
T0004,Le Conte / Westwood,2025-10-01 09:02:00,2025-10-01 09:02:00,14,14
T0004,Le Conte / Tiverton,2025-10-01 09:02:00,2025-10-01 09:02:00,39,45
T0004,Hilgard / Le Conte,2025-10-01 09:03:00,2025-10-01 09:03:00,47,32
T0004,Hilgard / Manning,2025-10-01 09:03:00,2025-10-01 09:03:00,20,16
T0004,Hilgard / Westholme,2025-10-01 09:04:00,2025-10-01 09:04:00,11,14
T0004,Hilgard / Wyton,2025-10-01 09:05:00,2025-10-01 09:05:00,45,17
T0004,Hilgard / Charing Cross,2025-10-01 09:06:00,2025-10-01 09:06:00,10,31
T0004,Sunset / Beverly Glen,2025-10-01 09:07:00,2025-10-01 09:07:00,50,8
T0004,Sunset / Charing Cross,2025-10-01 09:09:00,2025-10-01 09:09:00,38,32
T0004,Sunset / Carolwood,2025-10-01 09:10:00,2025-10-01 09:12:00,29,39
T0004,Sunset / Copley,2025-10-01 09:11:00,2025-10-01 09:13:00,22,32
T0004,Sunset / Whittier,2025-10-01 09:11:00,2025-10-01 09:13:00,25,36
T0004,Sunset / Bedford,2025-10-01 09:12:00,2025-10-01 09:16:00,16,22
T0004,Sunset / Rodeo,2025-10-01 09:13:00,2025-10-01 09:17:00,48,22
T0004,Sunset / Beverly,2025-10-01 09:13:00,2025-10-01 09:17:00,15,18
T0004,Sunset / Rexford,2025-10-01 09:13:00,2025-10-01 09:17:00,26,38
T0004,Sunset / Alpine,2025-10-01 09:14:00,2025-10-01 09:18:00,25,31
T0004,Sunset / Foothill,2025-10-01 09:14:00,2025-10-01 09:18:00,13,43
T0004,Sunset / Maple,2025-10-01 09:15:00,2025-10-01 09:19:00,39,42
T0004,Sunset / Hillcrest,2025-10-01 09:16:00,2025-10-01 09:20:00,0,14
T0005,Le Conte / Broxton,2025-10-01 10:00:00,2025-10-01 10:00:00,14,0
T0005,Le Conte / Westwood,2025-10-01 10:02:00,2025-10-01 10:02:00,48,45
T0005,Le Conte / Tiverton,2025-10-01 10:02:00,2025-10-01 10:02:00,39,28
T0005,Hilgard / Le Conte,2025-10-01 10:03:00,2025-10-01 10:03:00,16,5
T0005,Hilgard / Manning,2025-10-01 10:03:00,2025-10-01 10:03:00,17,43
T0005,Hilgard / Westholme,2025-10-01 10:04:00,2025-10-01 10:05:00,27,44
T0005,Hilgard / Wyton,2025-10-01 10:05:00,2025-10-01 10:06:00,19,12
T0005,Hilgard / Charing Cross,2025-10-01 10:06:00,2025-10-01 10:07:00,41,11
T0005,Sunset / Beverly Glen,2025-10-01 10:07:00,2025-10-01 10:08:00,36,14
T0005,Sunset / Charing Cross,2025-10-01 10:09:00,2025-10-01 10:10:00,18,20
T0005,Sunset / Carolwood,2025-10-01 10:10:00,2025-10-01 10:11:00,26,19
T0005,Sunset / Copley,2025-10-01 10:11:00,2025-10-01 10:12:00,12,27
T0005,Sunset / Whittier,2025-10-01 10:11:00,2025-10-01 10:12:00,17,7
T0005,Sunset / Bedford,2025-10-01 10:12:00,2025-10-01 10:13:00,38,26
T0005,Sunset / Rodeo,2025-10-01 10:13:00,2025-10-01 10:14:00,11,34
T0005,Sunset / Beverly,2025-10-01 10:13:00,2025-10-01 10:14:00,30,16
T0005,Sunset / Rexford,2025-10-01 10:13:00,2025-10-01 10:16:00,50,8
T0005,Sunset / Alpine,2025-10-01 10:14:00,2025-10-01 10:19:00,34,19
T0005,Sunset / Foothill,2025-10-01 10:14:00,2025-10-01 10:19:00,15,42
T0005,Sunset / Maple,2025-10-01 10:15:00,2025-10-01 10:20:00,31,33
T0005,Sunset / Hillcrest,2025-10-01 10:16:00,2025-10-01 10:23:00,0,12
T0006,Le Conte / Broxton,2025-10-01 11:00:00,2025-10-01 11:00:00,39,0
T0006,Le Conte / Westwood,2025-10-01 11:02:00,2025-10-01 11:02:00,10,29
T0006,Le Conte / Tiverton,2025-10-01 11:02:00,2025-10-01 11:02:00,10,9
T0006,Hilgard / Le Conte,2025-10-01 11:03:00,2025-10-01 11:03:00,20,6
T0006,Hilgard / Manning,2025-10-01 11:03:00,2025-10-01 11:03:00,33,28
T0006,Hilgard / Westholme,2025-10-01 11:04:00,2025-10-01 11:04:00,40,23
T0006,Hilgard / Wyton,2025-10-01 11:05:00,2025-10-01 11:05:00,29,6
T0006,Hilgard / Charing Cross,2025-10-01 11:06:00,2025-10-01 11:06:00,17,13
T0006,Sunset / Beverly Glen,2025-10-01 11:07:00,2025-10-01 11:11:00,49,31
T0006,Sunset / Charing Cross,2025-10-01 11:09:00,2025-10-01 11:14:00,34,29
T0006,Sunset / Carolwood,2025-10-01 11:10:00,2025-10-01 11:15:00,28,35
T0006,Sunset / Copley,2025-10-01 11:11:00,2025-10-01 11:16:00,42,20
T0006,Sunset / Whittier,2025-10-01 11:11:00,2025-10-01 11:21:00,38,43
T0006,Sunset / Bedford,2025-10-01 11:12:00,2025-10-01 11:27:00,43,32
T0006,Sunset / Rodeo,2025-10-01 11:13:00,2025-10-01 11:28:00,20,18
T0006,Sunset / Beverly,2025-10-01 11:13:00,2025-10-01 11:28:00,44,26
T0006,Sunset / Rexford,2025-10-01 11:13:00,2025-10-01 11:28:00,29,7
T0006,Sunset / Alpine,2025-10-01 11:14:00,2025-10-01 11:29:00,19,24
T0006,Sunset / Foothill,2025-10-01 11:14:00,2025-10-01 11:30:00,47,13
T0006,Sunset / Maple,2025-10-01 11:15:00,2025-10-01 11:31:00,31,31
T0006,Sunset / Hillcrest,2025-10-01 11:16:00,2025-10-01 11:32:00,0,12
T0007,Le Conte / Broxton,2025-10-01 12:00:00,2025-10-01 12:00:00,23,0
T0007,Le Conte / Westwood,2025-10-01 12:02:00,2025-10-01 12:02:00,28,14
T0007,Le Conte / Tiverton,2025-10-01 12:02:00,2025-10-01 12:02:00,16,5
T0007,Hilgard / Le Conte,2025-10-01 12:03:00,2025-10-01 12:03:00,47,18
T0007,Hilgard / Manning,2025-10-01 12:03:00,2025-10-01 12:03:00,18,18
T0007,Hilgard / Westholme,2025-10-01 12:04:00,2025-10-01 12:04:00,17,20
T0007,Hilgard / Wyton,2025-10-01 12:05:00,2025-10-01 12:05:00,36,29
T0007,Hilgard / Charing Cross,2025-10-01 12:06:00,2025-10-01 12:06:00,13,41
T0007,Sunset / Beverly Glen,2025-10-01 12:07:00,2025-10-01 12:11:00,31,10
T0007,Sunset / Charing Cross,2025-10-01 12:09:00,2025-10-01 12:13:00,14,33
T0007,Sunset / Carolwood,2025-10-01 12:10:00,2025-10-01 12:14:00,23,31
T0007,Sunset / Copley,2025-10-01 12:11:00,2025-10-01 12:16:00,40,12
T0007,Sunset / Whittier,2025-10-01 12:11:00,2025-10-01 12:19:00,21,16
T0007,Sunset / Bedford,2025-10-01 12:12:00,2025-10-01 12:20:00,34,26
T0007,Sunset / Rodeo,2025-10-01 12:13:00,2025-10-01 12:21:00,25,29
T0007,Sunset / Beverly,2025-10-01 12:13:00,2025-10-01 12:21:00,20,22
T0007,Sunset / Rexford,2025-10-01 12:13:00,2025-10-01 12:22:00,15,45
T0007,Sunset / Alpine,2025-10-01 12:14:00,2025-10-01 12:23:00,28,8
T0007,Sunset / Foothill,2025-10-01 12:14:00,2025-10-01 12:23:00,22,11
T0007,Sunset / Maple,2025-10-01 12:15:00,2025-10-01 12:24:00,18,16
T0007,Sunset / Hillcrest,2025-10-01 12:16:00,2025-10-01 12:25:00,0,7
T0008,Le Conte / Broxton,2025-10-01 13:00:00,2025-10-01 13:01:00,35,0
T0008,Le Conte / Westwood,2025-10-01 13:02:00,2025-10-01 13:03:00,32,28
T0008,Le Conte / Tiverton,2025-10-01 13:02:00,2025-10-01 13:03:00,28,40
T0008,Hilgard / Le Conte,2025-10-01 13:03:00,2025-10-01 13:04:00,13,12
T0008,Hilgard / Manning,2025-10-01 13:03:00,2025-10-01 13:04:00,36,31
T0008,Hilgard / Westholme,2025-10-01 13:04:00,2025-10-01 13:05:00,45,26
T0008,Hilgard / Wyton,2025-10-01 13:05:00,2025-10-01 13:06:00,36,24
T0008,Hilgard / Charing Cross,2025-10-01 13:06:00,2025-10-01 13:07:00,48,42
T0008,Sunset / Beverly Glen,2025-10-01 13:07:00,2025-10-01 13:08:00,36,12
T0008,Sunset / Charing Cross,2025-10-01 13:09:00,2025-10-01 13:10:00,33,24
T0008,Sunset / Carolwood,2025-10-01 13:10:00,2025-10-01 13:11:00,31,8
T0008,Sunset / Copley,2025-10-01 13:11:00,2025-10-01 13:12:00,15,20
T0008,Sunset / Whittier,2025-10-01 13:11:00,2025-10-01 13:12:00,25,40
T0008,Sunset / Bedford,2025-10-01 13:12:00,2025-10-01 13:14:00,49,38
T0008,Sunset / Rodeo,2025-10-01 13:13:00,2025-10-01 13:19:00,38,40
T0008,Sunset / Beverly,2025-10-01 13:13:00,2025-10-01 13:20:00,26,30
T0008,Sunset / Rexford,2025-10-01 13:13:00,2025-10-01 13:21:00,29,29
T0008,Sunset / Alpine,2025-10-01 13:14:00,2025-10-01 13:22:00,13,17
T0008,Sunset / Foothill,2025-10-01 13:14:00,2025-10-01 13:22:00,34,15
T0008,Sunset / Maple,2025-10-01 13:15:00,2025-10-01 13:23:00,48,39
T0008,Sunset / Hillcrest,2025-10-01 13:16:00,2025-10-01 13:24:00,0,45
T0009,Le Conte / Broxton,2025-10-01 14:00:00,2025-10-01 14:00:00,13,0
T0009,Le Conte / Westwood,2025-10-01 14:02:00,2025-10-01 14:02:00,31,28
T0009,Le Conte / Tiverton,2025-10-01 14:02:00,2025-10-01 14:06:00,27,9
T0009,Hilgard / Le Conte,2025-10-01 14:03:00,2025-10-01 14:07:00,39,22
T0009,Hilgard / Manning,2025-10-01 14:03:00,2025-10-01 14:09:00,23,31
T0009,Hilgard / Westholme,2025-10-01 14:04:00,2025-10-01 14:10:00,48,39
T0009,Hilgard / Wyton,2025-10-01 14:05:00,2025-10-01 14:11:00,19,19
T0009,Hilgard / Charing Cross,2025-10-01 14:06:00,2025-10-01 14:12:00,21,14
T0009,Sunset / Beverly Glen,2025-10-01 14:07:00,2025-10-01 14:15:00,39,33
T0009,Sunset / Charing Cross,2025-10-01 14:09:00,2025-10-01 14:17:00,46,24
T0009,Sunset / Carolwood,2025-10-01 14:10:00,2025-10-01 14:18:00,15,24
T0009,Sunset / Copley,2025-10-01 14:11:00,2025-10-01 14:19:00,31,5
T0009,Sunset / Whittier,2025-10-01 14:11:00,2025-10-01 14:19:00,12,31
T0009,Sunset / Bedford,2025-10-01 14:12:00,2025-10-01 14:20:00,45,16
T0009,Sunset / Rodeo,2025-10-01 14:13:00,2025-10-01 14:21:00,28,27
T0009,Sunset / Beverly,2025-10-01 14:13:00,2025-10-01 14:21:00,29,44
T0009,Sunset / Rexford,2025-10-01 14:13:00,2025-10-01 14:21:00,45,25
T0009,Sunset / Alpine,2025-10-01 14:14:00,2025-10-01 14:23:00,12,43
T0009,Sunset / Foothill,2025-10-01 14:14:00,2025-10-01 14:23:00,43,24
T0009,Sunset / Maple,2025-10-01 14:15:00,2025-10-01 14:24:00,30,18
T0009,Sunset / Hillcrest,2025-10-01 14:16:00,2025-10-01 14:25:00,0,28
T0010,Le Conte / Broxton,2025-10-01 15:00:00,2025-10-01 15:00:00,20,0
T0010,Le Conte / Westwood,2025-10-01 15:02:00,2025-10-01 15:02:00,45,35
T0010,Le Conte / Tiverton,2025-10-01 15:02:00,2025-10-01 15:02:00,11,44
T0010,Hilgard / Le Conte,2025-10-01 15:03:00,2025-10-01 15:03:00,34,24
T0010,Hilgard / Manning,2025-10-01 15:03:00,2025-10-01 15:03:00,34,38
T0010,Hilgard / Westholme,2025-10-01 15:04:00,2025-10-01 15:04:00,10,23
T0010,Hilgard / Wyton,2025-10-01 15:05:00,2025-10-01 15:05:00,34,27
T0010,Hilgard / Charing Cross,2025-10-01 15:06:00,2025-10-01 15:08:00,12,32
T0010,Sunset / Beverly Glen,2025-10-01 15:07:00,2025-10-01 15:09:00,38,6
T0010,Sunset / Charing Cross,2025-10-01 15:09:00,2025-10-01 15:11:00,34,23
T0010,Sunset / Carolwood,2025-10-01 15:10:00,2025-10-01 15:12:00,47,40
T0010,Sunset / Copley,2025-10-01 15:11:00,2025-10-01 15:13:00,41,24
T0010,Sunset / Whittier,2025-10-01 15:11:00,2025-10-01 15:13:00,33,6
T0010,Sunset / Bedford,2025-10-01 15:12:00,2025-10-01 15:16:00,40,6
T0010,Sunset / Rodeo,2025-10-01 15:13:00,2025-10-01 15:17:00,34,39
T0010,Sunset / Beverly,2025-10-01 15:13:00,2025-10-01 15:17:00,39,34
T0010,Sunset / Rexford,2025-10-01 15:13:00,2025-10-01 15:18:00,14,38
T0010,Sunset / Alpine,2025-10-01 15:14:00,2025-10-01 15:20:00,45,45
T0010,Sunset / Foothill,2025-10-01 15:14:00,2025-10-01 15:20:00,20,44
T0010,Sunset / Maple,2025-10-01 15:15:00,2025-10-01 15:21:00,35,41
T0010,Sunset / Hillcrest,2025-10-01 15:16:00,2025-10-01 15:22:00,0,6
T0011,Le Conte / Broxton,2025-10-01 16:00:00,2025-10-01 16:00:00,42,0
T0011,Le Conte / Westwood,2025-10-01 16:02:00,2025-10-01 16:02:00,22,9
T0011,Le Conte / Tiverton,2025-10-01 16:02:00,2025-10-01 16:02:00,16,17
T0011,Hilgard / Le Conte,2025-10-01 16:03:00,2025-10-01 16:03:00,42,9
T0011,Hilgard / Manning,2025-10-01 16:03:00,2025-10-01 16:03:00,13,17
T0011,Hilgard / Westholme,2025-10-01 16:04:00,2025-10-01 16:04:00,16,20
T0011,Hilgard / Wyton,2025-10-01 16:05:00,2025-10-01 16:07:00,13,20
T0011,Hilgard / Charing Cross,2025-10-01 16:06:00,2025-10-01 16:11:00,48,10
T0011,Sunset / Beverly Glen,2025-10-01 16:07:00,2025-10-01 16:12:00,20,20
T0011,Sunset / Charing Cross,2025-10-01 16:09:00,2025-10-01 16:14:00,41,11
T0011,Sunset / Carolwood,2025-10-01 16:10:00,2025-10-01 16:15:00,37,9
T0011,Sunset / Copley,2025-10-01 16:11:00,2025-10-01 16:16:00,42,19
T0011,Sunset / Whittier,2025-10-01 16:11:00,2025-10-01 16:16:00,28,17
T0011,Sunset / Bedford,2025-10-01 16:12:00,2025-10-01 16:17:00,13,27
T0011,Sunset / Rodeo,2025-10-01 16:13:00,2025-10-01 16:18:00,14,28
T0011,Sunset / Beverly,2025-10-01 16:13:00,2025-10-01 16:18:00,34,35
T0011,Sunset / Rexford,2025-10-01 16:13:00,2025-10-01 16:18:00,10,37
T0011,Sunset / Alpine,2025-10-01 16:14:00,2025-10-01 16:19:00,27,13
T0011,Sunset / Foothill,2025-10-01 16:14:00,2025-10-01 16:19:00,19,25
T0011,Sunset / Maple,2025-10-01 16:15:00,2025-10-01 16:20:00,28,21
T0011,Sunset / Hillcrest,2025-10-01 16:16:00,2025-10-01 16:22:00,0,24
T0012,Le Conte / Broxton,2025-10-01 17:00:00,2025-10-01 17:00:00,28,0
T0012,Le Conte / Westwood,2025-10-01 17:02:00,2025-10-01 17:02:00,36,22
T0012,Le Conte / Tiverton,2025-10-01 17:02:00,2025-10-01 17:02:00,12,17
T0012,Hilgard / Le Conte,2025-10-01 17:03:00,2025-10-01 17:03:00,47,40
T0012,Hilgard / Manning,2025-10-01 17:03:00,2025-10-01 17:04:00,39,45
T0012,Hilgard / Westholme,2025-10-01 17:04:00,2025-10-01 17:05:00,25,11
T0012,Hilgard / Wyton,2025-10-01 17:05:00,2025-10-01 17:06:00,22,23
T0012,Hilgard / Charing Cross,2025-10-01 17:06:00,2025-10-01 17:07:00,46,13
T0012,Sunset / Beverly Glen,2025-10-01 17:07:00,2025-10-01 17:08:00,20,40
T0012,Sunset / Charing Cross,2025-10-01 17:09:00,2025-10-01 17:10:00,30,38
T0012,Sunset / Carolwood,2025-10-01 17:10:00,2025-10-01 17:11:00,14,13
T0012,Sunset / Copley,2025-10-01 17:11:00,2025-10-01 17:13:00,12,16
T0012,Sunset / Whittier,2025-10-01 17:11:00,2025-10-01 17:13:00,13,5
T0012,Sunset / Bedford,2025-10-01 17:12:00,2025-10-01 17:14:00,41,26
T0012,Sunset / Rodeo,2025-10-01 17:13:00,2025-10-01 17:15:00,33,40
T0012,Sunset / Beverly,2025-10-01 17:13:00,2025-10-01 17:15:00,41,42
T0012,Sunset / Rexford,2025-10-01 17:13:00,2025-10-01 17:16:00,22,21
T0012,Sunset / Alpine,2025-10-01 17:14:00,2025-10-01 17:17:00,12,6
T0012,Sunset / Foothill,2025-10-01 17:14:00,2025-10-01 17:17:00,28,24
T0012,Sunset / Maple,2025-10-01 17:15:00,2025-10-01 17:18:00,13,15
T0012,Sunset / Hillcrest,2025-10-01 17:16:00,2025-10-01 17:19:00,0,27
T0013,Le Conte / Broxton,2025-10-01 18:00:00,2025-10-01 18:00:00,34,0
T0013,Le Conte / Westwood,2025-10-01 18:02:00,2025-10-01 18:02:00,17,34
T0013,Le Conte / Tiverton,2025-10-01 18:02:00,2025-10-01 18:02:00,26,41
T0013,Hilgard / Le Conte,2025-10-01 18:03:00,2025-10-01 18:03:00,48,44
T0013,Hilgard / Manning,2025-10-01 18:03:00,2025-10-01 18:03:00,45,38
T0013,Hilgard / Westholme,2025-10-01 18:04:00,2025-10-01 18:07:00,12,40
T0013,Hilgard / Wyton,2025-10-01 18:05:00,2025-10-01 18:08:00,43,24
T0013,Hilgard / Charing Cross,2025-10-01 18:06:00,2025-10-01 18:09:00,13,10
T0013,Sunset / Beverly Glen,2025-10-01 18:07:00,2025-10-01 18:10:00,13,14
T0013,Sunset / Charing Cross,2025-10-01 18:09:00,2025-10-01 18:12:00,37,26
T0013,Sunset / Carolwood,2025-10-01 18:10:00,2025-10-01 18:15:00,42,29
T0013,Sunset / Copley,2025-10-01 18:11:00,2025-10-01 18:16:00,41,39
T0013,Sunset / Whittier,2025-10-01 18:11:00,2025-10-01 18:16:00,46,17
T0013,Sunset / Bedford,2025-10-01 18:12:00,2025-10-01 18:17:00,37,29
T0013,Sunset / Rodeo,2025-10-01 18:13:00,2025-10-01 18:20:00,43,39
T0013,Sunset / Beverly,2025-10-01 18:13:00,2025-10-01 18:20:00,43,38
T0013,Sunset / Rexford,2025-10-01 18:13:00,2025-10-01 18:20:00,38,36
T0013,Sunset / Alpine,2025-10-01 18:14:00,2025-10-01 18:22:00,34,34
T0013,Sunset / Foothill,2025-10-01 18:14:00,2025-10-01 18:22:00,50,32
T0013,Sunset / Maple,2025-10-01 18:15:00,2025-10-01 18:23:00,35,22
T0013,Sunset / Hillcrest,2025-10-01 18:16:00,2025-10-01 18:29:00,0,18
T0014,Le Conte / Broxton,2025-10-01 19:00:00,2025-10-01 19:00:00,18,0
T0014,Le Conte / Westwood,2025-10-01 19:02:00,2025-10-01 19:02:00,34,21
T0014,Le Conte / Tiverton,2025-10-01 19:02:00,2025-10-01 19:04:00,49,14
T0014,Hilgard / Le Conte,2025-10-01 19:03:00,2025-10-01 19:05:00,38,16
T0014,Hilgard / Manning,2025-10-01 19:03:00,2025-10-01 19:05:00,18,33
T0014,Hilgard / Westholme,2025-10-01 19:04:00,2025-10-01 19:06:00,31,15
T0014,Hilgard / Wyton,2025-10-01 19:05:00,2025-10-01 19:07:00,12,17
T0014,Hilgard / Charing Cross,2025-10-01 19:06:00,2025-10-01 19:08:00,44,40
T0014,Sunset / Beverly Glen,2025-10-01 19:07:00,2025-10-01 19:09:00,15,20
T0014,Sunset / Charing Cross,2025-10-01 19:09:00,2025-10-01 19:11:00,24,34
T0014,Sunset / Carolwood,2025-10-01 19:10:00,2025-10-01 19:12:00,45,28
T0014,Sunset / Copley,2025-10-01 19:11:00,2025-10-01 19:13:00,10,31
T0014,Sunset / Whittier,2025-10-01 19:11:00,2025-10-01 19:13:00,50,43
T0014,Sunset / Bedford,2025-10-01 19:12:00,2025-10-01 19:14:00,14,25
T0014,Sunset / Rodeo,2025-10-01 19:13:00,2025-10-01 19:15:00,35,24
T0014,Sunset / Beverly,2025-10-01 19:13:00,2025-10-01 19:19:00,16,24
T0014,Sunset / Rexford,2025-10-01 19:13:00,2025-10-01 19:19:00,33,25
T0014,Sunset / Alpine,2025-10-01 19:14:00,2025-10-01 19:20:00,25,35
T0014,Sunset / Foothill,2025-10-01 19:14:00,2025-10-01 19:22:00,37,9
T0014,Sunset / Maple,2025-10-01 19:15:00,2025-10-01 19:25:00,37,23
T0014,Sunset / Hillcrest,2025-10-01 19:16:00,2025-10-01 19:26:00,0,38
T0015,Le Conte / Broxton,2025-10-01 20:00:00,2025-10-01 20:00:00,14,0
T0015,Le Conte / Westwood,2025-10-01 20:02:00,2025-10-01 20:04:00,47,40
T0015,Le Conte / Tiverton,2025-10-01 20:02:00,2025-10-01 20:04:00,29,40
T0015,Hilgard / Le Conte,2025-10-01 20:03:00,2025-10-01 20:05:00,45,11
T0015,Hilgard / Manning,2025-10-01 20:03:00,2025-10-01 20:05:00,14,34
T0015,Hilgard / Westholme,2025-10-01 20:04:00,2025-10-01 20:06:00,21,5
T0015,Hilgard / Wyton,2025-10-01 20:05:00,2025-10-01 20:07:00,42,22
T0015,Hilgard / Charing Cross,2025-10-01 20:06:00,2025-10-01 20:08:00,41,10
T0015,Sunset / Beverly Glen,2025-10-01 20:07:00,2025-10-01 20:09:00,24,36
T0015,Sunset / Charing Cross,2025-10-01 20:09:00,2025-10-01 20:13:00,22,28
T0015,Sunset / Carolwood,2025-10-01 20:10:00,2025-10-01 20:14:00,21,37
T0015,Sunset / Copley,2025-10-01 20:11:00,2025-10-01 20:15:00,22,13
T0015,Sunset / Whittier,2025-10-01 20:11:00,2025-10-01 20:15:00,45,15
T0015,Sunset / Bedford,2025-10-01 20:12:00,2025-10-01 20:16:00,39,21
T0015,Sunset / Rodeo,2025-10-01 20:13:00,2025-10-01 20:17:00,21,13
T0015,Sunset / Beverly,2025-10-01 20:13:00,2025-10-01 20:17:00,11,7
